Business Name,Week,Leads Imported,Campaigns Sent,Messages Sent,Responses Received,Response Rate %,Appointments Booked,Deals Closed,Revenue Generated,ROI %,Time Saved (Hours),Notes
Example Med Spa,1,25,1,25,4,16.0,2,0,0,0,2,First test campaign - good response rate
Example Med Spa,2,50,3,75,12,16.0,5,1,800,400,4,AI scoring helped prioritize - first deal closed!
Example Med Spa,3,100,5,150,28,18.7,12,3,2400,600,8,Nurture sequences working well - scaling up
Example Med Spa,4,200,8,300,72,24.0,25,8,6400,800,12,Excellent month - ROI proving itself
Your Business,1,,,,,,,,,,,
Your Business,2,,,,,,,,,,,
Your Business,3,,,,,,,,,,,
Your Business,4,,,,,,,,,,,
Your Business,5,,,,,,,,,,,
Your Business,6,,,,,,,,,,,
Your Business,7,,,,,,,,,,,
Your Business,8,,,,,,,,,,,
Your Business,9,,,,,,,,,,,
Your Business,10,,,,,,,,,,,
Your Business,11,,,,,,,,,,,
Your Business,12,,,,,,,,,,,
